epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,phase
46,841.452,1.24324,4.52484,1.27852,0.54592,0.38692,0.40678,0.26782,1.32288,inf,1.2749,3.90231e-05,3.90231e-05,3.90231e-05,2
47,859.108,1.23286,4.45111,1.26808,0.53783,0.38864,0.40766,0.2677,1.32339,inf,1.27536,3.79917e-05,3.79917e-05,3.79917e-05,2
48,876.068,1.21869,4.39323,1.25626,0.54117,0.39002,0.4084,0.26812,1.32267,inf,1.27518,3.69561e-05,3.69561e-05,3.69561e-05,2
49,893.69,1.23693,4.47484,1.26979,0.5383,0.38986,0.40791,0.26787,1.32059,inf,1.27137,3.59174e-05,3.59174e-05,3.59174e-05,2
50,913.155,1.21718,4.35093,1.25846,0.54941,0.39388,0.40866,0.26818,1.31977,inf,1.27392,3.48767e-05,3.48767e-05,3.48767e-05,2
51,929.511,1.21953,4.41075,1.2587,0.53047,0.39467,0.40938,0.26865,1.32497,inf,1.2782,3.3835e-05,3.3835e-05,3.3835e-05,2
52,948.105,1.21524,4.34579,1.25947,0.54112,0.39397,0.40777,0.26832,1.32274,inf,1.27761,3.27933e-05,3.27933e-05,3.27933e-05,2
53,966.343,1.22906,4.42839,1.27129,0.54013,0.39343,0.40939,0.26858,1.32163,inf,1.27814,3.17526e-05,3.17526e-05,3.17526e-05,2
54,983.838,1.22512,4.4137,1.2645,0.5478,0.38878,0.40688,0.2668,1.31966,inf,1.27475,3.07139e-05,3.07139e-05,3.07139e-05,2
55,1001.64,1.23293,4.47395,1.27081,0.53064,0.39558,0.40711,0.26791,1.32028,inf,1.27638,2.96783e-05,2.96783e-05,2.96783e-05,2
56,1020.08,1.21224,4.35392,1.25774,0.54846,0.38929,0.40841,0.26864,1.32027,inf,1.27605,2.86469e-05,2.86469e-05,2.86469e-05,2
57,1037.81,1.20505,4.35103,1.25208,0.55133,0.38414,0.40884,0.26873,1.32575,inf,1.2791,2.76205e-05,2.76205e-05,2.76205e-05,2
58,1056.48,1.2133,4.31628,1.25535,0.54129,0.39358,0.40892,0.26907,1.32327,inf,1.27903,2.66003e-05,2.66003e-05,2.66003e-05,2
59,1074.1,1.20263,4.34888,1.25921,0.53958,0.39127,0.40861,0.268,1.32255,inf,1.2784,2.55872e-05,2.55872e-05,2.55872e-05,2
60,1092.01,1.22312,4.3162,1.25562,0.54268,0.39078,0.40846,0.26859,1.32139,inf,1.27709,2.45823e-05,2.45823e-05,2.45823e-05,2
61,1109.98,1.21869,4.34074,1.25994,0.55473,0.38983,0.40909,0.26818,1.32166,inf,1.27711,2.35865e-05,2.35865e-05,2.35865e-05,2
62,1128.84,1.20749,4.31193,1.25971,0.55139,0.38821,0.40823,0.26798,1.32221,inf,1.27767,2.26008e-05,2.26008e-05,2.26008e-05,2
63,1146.64,1.22416,4.4171,1.26735,0.55424,0.38738,0.40837,0.26836,1.3221,inf,1.27765,2.16261e-05,2.16261e-05,2.16261e-05,2
64,1163.53,1.21181,4.321,1.25597,0.56433,0.38901,0.4095,0.26848,1.32483,inf,1.27886,2.06636e-05,2.06636e-05,2.06636e-05,2
65,1182.12,1.21163,4.33547,1.25538,0.54405,0.39817,0.40894,0.26799,1.32519,inf,1.27922,1.9714e-05,1.9714e-05,1.9714e-05,2
66,1200.78,1.18979,4.25764,1.2438,0.54174,0.39193,0.40943,0.269,1.32471,inf,1.27856,1.87784e-05,1.87784e-05,1.87784e-05,2
67,1217.71,1.17869,4.26291,1.24329,0.5395,0.39465,0.4093,0.26843,1.32446,inf,1.27939,1.78576e-05,1.78576e-05,1.78576e-05,2
68,1236.79,1.19587,4.31485,1.25406,0.56083,0.38828,0.40955,0.26876,1.32498,inf,1.27953,1.69526e-05,1.69526e-05,1.69526e-05,2
69,1254.64,1.20096,4.34413,1.25571,0.55992,0.38896,0.41041,0.26857,1.32523,inf,1.27955,1.60643e-05,1.60643e-05,1.60643e-05,2
70,1271.27,1.18178,4.23667,1.24129,0.56899,0.38533,0.41032,0.26939,1.32427,inf,1.27838,1.51935e-05,1.51935e-05,1.51935e-05,2
71,1289.01,1.18817,4.21869,1.24562,0.55122,0.38868,0.41052,0.26958,1.32536,inf,1.27934,1.43411e-05,1.43411e-05,1.43411e-05,2
72,1307.81,1.1937,4.2962,1.24885,0.54146,0.39252,0.41003,0.26937,1.32538,inf,1.27983,1.35079e-05,1.35079e-05,1.35079e-05,2
73,1326.17,1.20707,4.31739,1.25245,0.53621,0.39471,0.40976,0.26978,1.32522,inf,1.27929,1.26948e-05,1.26948e-05,1.26948e-05,2
74,1343.84,1.20045,4.28397,1.25399,0.56305,0.39033,0.41106,0.26965,1.32474,inf,1.27824,1.19026e-05,1.19026e-05,1.19026e-05,2
75,1361.83,1.19421,4.28019,1.24604,0.56541,0.38741,0.4111,0.26951,1.32468,inf,1.27911,1.1132e-05,1.1132e-05,1.1132e-05,2
76,1380.57,1.19157,4.25556,1.25015,0.57126,0.38518,0.41073,0.26975,1.32693,inf,1.2812,1.03838e-05,1.03838e-05,1.03838e-05,2
77,1396.84,1.19492,4.27128,1.24493,0.56484,0.38834,0.40989,0.26876,1.32641,inf,1.28012,9.65876e-06,9.65876e-06,9.65876e-06,2
78,1415.36,1.20457,4.34534,1.2628,0.55947,0.38852,0.41011,0.26883,1.32628,inf,1.28017,8.95757e-06,8.95757e-06,8.95757e-06,2
